date,endPrice,priceChange,changeRate,moneyIn,moneyOut,netIn,mainPowerIn,mainPowerOut,mainPowerNetIn
14974848,16.46,0.67,0.49,32531,31012,1519,13257,10597,2660
14973984,16.35,-0.43,0.43,27534,37493,-9959,13347,20259,-6912
14973120,16.42,-0.06,0.43,25636,28526,-2890,10515,10591,-76
14972256,16.43,-0.84,0.89,48948,55549,-6601,25568,30246,-4678
14969664,16.57,0.79,1.18,62739,59647,3092,40313,33734,6580
14968800,16.44,0.43,0.58,40052,33910,6142,21519,17393,4126
14967936,16.37,0.74,0.81,53042,51033,2009,26543,24190,2354
14967072,16.25,0.25,0.35,29203,23712,5491,10820,9204,1615
14966208,16.21,-1.04,0.49,28894,28881,14,12155,10760,1395
14963616,16.38,0.06,0.56,41217,36633,4584,20341,15355,4987
14962752,16.37,-0.43,0.59,45499,45153,347,24025,21200,2825
14961888,16.44,0.31,0.81,54115,47312,6803,35003,29690,5313
14957568,16.39,-0.12,1.23,108856,83023,25833,77794,52493,25301
14956704,16.41,3.93,1.69,148019,104693,43326,121671,75464,46207
14955840,15.79,0.38,0.37,20887,23162,-2274,7629,6364,1265
14954976,15.73,1.16,0.58,31685,32581,-896,15684,10289,5395
14954112,15.55,-1.02,0.35,18185,33329,-15144,5065,14855,-9790
14939424,15.78,-1.74,1.42,58320,73297,-14978,35377,48819,-13441
14938560,16.06,0.06,0.35,19900,20388,-487,8755,7276,1479
14937696,16.05,-0.37,0.36,15978,25628,-9649,5373,12864,-7492
14936832,16.11,-0.74,0.33,12662,23486,-10824,3239,9054,-5815
14932512,16.23,0.19,0.44,22766,20765,2002,7321,5674,1647
14931648,16.20,0.50,0.54,27473,28184,-711,15877,13515,2362
14930784,16.12,-1.10,0.37,15467,24001,-8534,5743,9275,-3532
14929920,16.30,0.31,0.85,39117,47560,-8443,29257,28541,716
14927328,16.25,0.93,0.48,25494,22648,2846,12462,9600,2861
14926464,16.10,0.31,0.39,19766,17898,1868,6826,5398,1428
14925600,16.05,0.12,0.61,29380,33017,-3637,14115,16648,-2533
14924736,16.03,-0.93,0.35,17771,18371,-599,7461,5027,2434
14921280,16.18,-0.68,0.60,33166,29358,3808,19896,14471,5425
14920416,16.29,-0.49,0.38,17876,21871,-3995,7020,8192,-1171
14919552,16.37,0.61,0.97,52408,48299,4108,32151,26896,5255
14918688,16.27,0.18,0.57,24810,29919,-5109,9605,12100,-2495
14917824,16.24,-0.25,0.47,22944,25578,-2634,10058,12264,-2206
14915232,16.28,0.25,0.50,26069,24100,1968,12893,9665,3228
14914368,16.24,-0.31,0.46,24594,25333,-739,10895,9573,1322
14913504,16.29,1.12,0.59,33862,28346,5516,15705,11712,3993
14909184,16.11,0.25,0.39,21611,20583,1027,7672,7482,190
14908320,16.07,-0.43,0.72,32985,38549,-5564,16641,25118,-8477
14907456,16.14,-0.31,0.37,18570,20183,-1612,4184,6118,-1935
14906592,16.19,-0.43,0.31,13933,18271,-4337,3217,7506,-4289
14905728,16.26,-0.18,0.43,22603,22262,340,6932,9523,-2591
14903136,16.29,0.87,0.76,38594,37565,1029,21062,20635,427
14902272,16.15,0.50,0.46,25910,22616,3294,9975,9119,856
14901408,16.07,-0.92,0.60,29796,29427,369,12055,14798,-2743
14900544,16.22,-0.49,0.52,23004,30090,-7086,6231,12726,-6495
14899680,16.30,-0.06,0.48,17149,31704,-14555,5263,11789,-6526
14897088,16.31,-1.63,0.64,28460,39042,-10582,14645,20394,-5749
14896224,16.58,1.72,0.98,48318,49967,-1649,31480,27680,3801
14895360,16.30,-0.43,0.38,18747,21010,-2263,6236,5808,428
14894496,16.37,0.18,0.35,22459,18916,3544,10628,7179,3449
14893632,16.34,0.62,0.48,29772,24400,5372,15219,11736,3483
14891040,16.24,-0.55,0.25,11209,17595,-6385,1831,6644,-4814
14890176,16.33,-0.24,0.50,24813,28699,-3885,9001,15538,-6537
14889312,16.37,-0.49,0.34,16286,23819,-7533,6200,12095,-5895
14888448,16.45,0.12,0.43,22317,23120,-803,7642,7088,554
14887584,16.43,0.37,0.39,26649,15652,10997,10111,3603,6508
14884992,16.37,-0.55,0.58,29768,30252,-485,12688,16275,-3587
14884128,16.46,-0.48,0.65,32118,36000,-3881,15460,19980,-4519
14883264,16.54,-0.06,0.41,22540,21695,845,9277,8432,845
14882400,16.55,0.06,0.34,17624,19206,-1582,4613,8937,-4325
14881536,16.54,-1.02,0.62,24837,36384,-11546,10559,15164,-4604
14878944,16.71,0.30,0.52,32205,24971,7234,16349,10866,5483
14878080,16.66,-0.83,0.55,25517,34952,-9435,10086,18929,-8844
14877216,16.80,-0.65,0.63,33589,34092,-503,17456,18605,-1149
14876352,16.91,0.18,0.91,480,0,480,480,0,480
14875488,16.88,1.26,0.96,56638,46177,10460,33810,26248,7562
14872896,16.67,-0.30,1.23,68525,59402,9124,45601,37259,8341
14872032,16.72,0.97,0.68,43613,30551,13062,23036,16368,6669
14871168,16.56,-0.48,0.61,33844,32457,1387,17692,14296,3397
14870304,16.64,-0.30,0.62,35118,31478,3640,16649,14489,2161
14869440,16.69,0.12,0.76,43796,39256,4540,24482,17282,7200
14866848,16.67,0.97,0.82,44679,35235,9444,24090,15509,8580
14865984,16.51,-0.06,0.66,38748,32745,6004,19706,16942,2764
14853024,16.39,0.06,0.33,17862,20064,-2202,7643,9193,-1550
14852160,16.38,-0.37,0.41,23171,22559,612,10011,10806,-795
14851296,16.44,0.18,0.48,25347,22822,2525,8423,7027,1396
14848704,16.41,0.86,0.64,37470,29348,8122,18699,14901,3798
14846976,16.27,0.06,0.49,23611,30048,-6437,11866,15786,-3920
14846112,16.26,-0.61,0.46,20166,27449,-7283,8608,11354,-2745
14845248,16.36,0.93,1.75,94959,88330,6628,77414,62358,15056
14842656,16.21,0.37,0.84,45130,39086,6044,28802,18665,10138
14841792,16.15,0.31,0.57,26973,32368,-5395,13534,16548,-3014
14840928,16.10,-0.06,0.41,21901,20075,1827,7364,6292,1073
14840064,16.11,0.25,0.46,21874,25703,-3829,9626,9736,-110
14839200,16.07,0.37,0.41,19976,22548,-2571,6516,8564,-2048
14836608,16.01,-0.87,0.53,20670,29538,-8868,6816,13255,-6440
14835744,16.15,-0.43,0.49,23365,29098,-5733,9954,14027,-4073
14834880,16.22,0.19,0.53,26003,27850,-1846,10197,11933,-1736
14834016,16.19,0.81,0.63,32231,30948,1283,15554,13598,1956
14830560,16.06,0.88,0.46,22549,24610,-2060,11880,10212,1668
14829696,15.92,-0.62,0.37,17531,22967,-5436,6127,7816,-1690
14827968,16.02,-0.44,0.29,15441,15729,-288,3246,5656,-2411
14827104,16.09,0.63,0.58,33132,27597,5535,15805,11036,4769
14824512,15.99,-1.05,0.52,20404,30075,-9670,6936,12913,-5978
14823648,16.16,-0.06,0.47,26547,23717,2830,11410,6829,4580
14822784,16.17,0.75,0.73,44138,33047,11090,20505,14284,6221
14821920,16.05,-0.25,0.63,29929,28798,1130,13164,12208,955
14821056,16.09,-0.06,0.57,28971,32139,-3167,11922,17201,-5279
14818464,16.10,-0.12,0.71,54178,56891,-2713,29150,31357,-2207
14817600,16.12,-0.74,1.01,75451,82838,-7387,43057,55000,-11943
14816736,16.24,-0.98,0.63,45439,55256,-9818,17474,27925,-10451
14815872,16.40,-0.30,0.72,59682,53886,5795,30565,28066,2499
14815008,16.45,-1.97,1.72,122683,149844,-27160,87267,117167,-29900
14812416,16.78,0.48,0.91,71752,73917,-2165,46761,40223,6538
14811552,16.70,-1.12,0.76,52855,70813,-17958,28695,40098,-11403
14810688,16.89,0.66,0.74,57973,57803,170,32460,29689,2771
14809824,16.78,-0.42,1.04,89114,79268,9846,53686,47472,6214
14808960,16.85,-2.94,2.25,176346,188184,-11838,140032,154508,-14476
14806368,17.36,-2.64,2.27,178901,206540,-27639,139797,173209,-33412
14805504,17.83,0.45,1.75,158854,140705,18148,122841,108603,14238
14804640,17.75,-1.17,2.62,239055,206449,32606,203750,177601,26149
14803776,17.96,1.99,2.81,261331,221700,39631,230564,189696,40868
14802912,17.61,-0.34,1.54,127284,130771,-3487,96880,98490,-1610
14800320,17.67,0.40,1.35,109434,106915,2519,81877,80023,1854
14799456,17.60,0.69,1.48,128250,123715,4536,96939,87132,9806
14798592,17.48,-0.91,1.63,121756,154247,-32491,94262,120500,-26238
14797728,17.64,1.44,1.71,142536,130812,11724,111453,95798,15655
14794272,17.21,-1.38,0.94,72135,82786,-10651,41400,56750,-15350
14793408,17.45,-0.06,1.00,78044,91585,-13541,48312,57120,-8809
14792544,17.46,0.06,1.27,112655,101151,11504,78042,70508,7534
14791680,17.45,-1.13,1.49,112075,139092,-27017,75448,103953,-28505
14790816,17.65,0.57,3.17,240946,208772,32174,207839,178487,29352
14788224,17.55,3.17,3.37,337156,229136,108020,304820,198331,106489
14787360,17.01,2.10,1.76,130132,137948,-7816,102511,106461,-3950
14786496,16.66,-1.65,1.37,99450,122154,-22704,66582,83828,-17247
14785632,16.94,0.06,0.94,69456,87074,-17619,38958,54988,-16030
14784768,16.93,0.53,0.84,75785,61145,14640,42234,31337,10897
14782176,16.84,-0.12,1.08,91280,83067,8212,60116,51253,8863
14781312,16.86,1.38,2.17,202579,150599,51980,170263,118347,51916
14780448,16.63,-1.07,0.76,56444,65456,-9012,32126,37224,-5098
14779584,16.81,1.20,0.68,59087,51777,7309,32017,26686,5331
14778720,16.61,-1.19,0.64,49428,49414,14,24911,26826,-1915
14776128,16.81,0.30,1.45,121303,118042,3261,93723,87648,6076
14775264,16.76,-0.30,0.49,38249,41143,-2893,12156,17456,-5300
14774400,16.81,-0.30,0.68,54936,56405,-1469,29110,31553,-2444
14773536,16.86,-0.59,0.80,60991,68808,-7817,33888,35967,-2079
