date,endPrice,priceChange,changeRate,moneyIn,moneyOut,netIn,mainPowerIn,mainPowerOut,mainPowerNetIn
14974848,34.60,0.85,0.22,2585,2180,405,0,111,-111
14973984,34.31,-0.81,0.38,4294,4449,-155,245,322,-77
14973120,34.59,-0.60,0.52,3664,7151,-3488,305,1829,-1524
14972256,34.80,-1.05,0.83,8359,8418,-59,1431,1452,-21
14969664,35.17,2.60,1.16,11958,8243,3715,2752,1790,962
14968800,34.28,2.51,0.58,6594,5872,722,514,365,149
14967936,33.44,0.91,0.33,3586,3312,274,102,182,-81
14967072,33.14,-1.52,0.27,2108,3874,-1765,119,214,-95
14966208,33.65,2.09,0.36,3794,3352,442,189,0,189
14963616,32.96,-0.54,0.32,2920,3918,-998,0,201,-201
14962752,33.14,-0.09,0.33,3824,3463,361,443,106,337
14961888,33.17,-1.22,0.49,4224,5819,-1595,335,1668,-1334
14957568,33.58,-2.33,0.44,4772,5287,-515,266,236,30
14956704,34.38,7.81,0.62,9309,4509,4800,2552,318,2234
14955840,31.89,-1.67,0.15,996,1899,-903,0,305,-305
14954976,32.43,-0.77,0.26,2476,3188,-713,129,563,-433
14954112,32.68,1.43,0.32,4303,2594,1709,0,370,-370
14939424,31.45,0.26,0.21,2318,1583,735,0,231,-231
14938560,31.37,0.64,0.30,2713,2785,-72,0,0,0
14937696,31.17,-2.65,0.28,1360,3517,-2158,0,148,-148
14936832,32.02,0.09,0.15,1073,1538,-464,0,0,0
14933376,31.99,-0.71,0.29,1767,3591,-1824,0,160,-160
14932512,32.22,-1.62,0.35,2796,3470,-674,0,354,-354
14931648,32.75,-2.12,0.30,2031,4099,-2068,0,242,-242
14930784,33.46,1.42,0.32,3304,2968,336,0,0,0
14929920,32.99,-1.64,0.28,1966,3082,-1115,0,351,-351
14927328,33.54,1.15,0.40,4281,3252,1029,973,356,618
14926464,33.16,1.41,0.36,3260,3263,-3,0,0,0
14925600,32.70,-0.91,0.19,1732,1769,-37,0,0,0
14924736,33.00,1.13,0.26,3052,1955,1097,204,0,204
14923872,32.63,-0.28,0.11,907,1317,-410,0,0,0
14921280,32.72,-0.40,0.15,1613,1397,215,0,102,-102
14920416,32.85,2.02,0.29,3827,1597,2230,232,0,232
14919552,32.20,0.34,0.23,2357,1998,360,0,0,0
14918688,32.09,0.38,0.22,1905,2495,-590,131,104,27
14917824,31.97,-1.81,0.24,1495,3273,-1778,0,401,-401
14915232,32.56,0.18,0.28,2744,2737,6,0,0,0
14914368,32.50,-1.19,0.23,1525,2969,-1444,115,161,-45
14913504,32.89,0.40,0.25,1886,2815,-929,0,221,-221
14909184,32.76,-0.21,0.19,1497,2129,-632,116,122,-6
14908320,32.83,-2.18,0.23,2051,2209,-158,145,0,145
14907456,33.56,-1.27,0.18,1327,2167,-840,0,103,-103
14906592,33.99,-0.90,0.22,1787,2685,-898,171,0,171
14905728,34.30,0.76,0.76,7234,6715,519,848,145,703
14903136,34.04,2.25,0.56,5473,4723,749,583,159,424
14902272,33.29,-0.51,0.30,2439,3709,-1270,0,433,-433
14901408,33.46,-0.71,0.50,4660,4351,309,1272,506,766
14900544,33.70,2.96,0.51,5796,3283,2513,888,191,698
14899680,32.73,0.49,0.26,2086,3077,-991,116,184,-68
14897088,32.57,-0.28,0.31,2879,3314,-435,0,114,-114
14896224,32.66,-0.43,0.34,3337,3013,324,0,0,0
14895360,32.80,-0.64,0.38,2817,4071,-1253,161,779,-618
14894496,33.01,-1.29,0.25,2012,2719,-706,0,334,-334
14893632,33.44,0.75,0.37,3089,3637,-547,456,464,-8
14891040,33.19,1.34,0.21,2588,1293,1294,101,0,101
14890176,32.75,-0.88,0.22,2223,2000,223,0,119,-119
